City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
298,vardo,70.3705,31.1107,1.99,87,75,10.29,NO,1680963442
299,rangapara,26.8167,92.65,25.38,46,17,2.74,IN,1680963597
300,ust-kulom,61.6864,53.6902,2.06,95,96,2.26,RU,1680963597
301,reforma,18.1,-91.0167,25.42,66,0,4.89,MX,1680963597
302,port-gentil,-0.7193,8.7815,30.98,74,40,7.2,GA,1680963442
303,ulladulla,-35.35,150.4667,14.32,54,38,6.41,AU,1680963598
304,yuzhno-kurilsk,44.0306,145.8556,0.24,95,100,4.88,RU,1680963598
305,north platte,41.1239,-100.7654,9.65,32,0,4.02,US,1680963598
306,ekibastuz,51.6667,75.3667,-0.97,38,0,2.67,KZ,1680963598
307,clyde river,70.4692,-68.5914,-18.87,78,0,11.83,CA,1680963598
308,bandarbeyla,9.4942,50.8122,28.53,64,4,4.84,SO,1680963434
309,askarovo,53.3372,58.5089,4.53,20,0,1.0,RU,1680963599
310,juneau,58.3019,-134.4197,2.9,100,100,0.0,US,1680963382
311,port hardy,50.6996,-127.4199,7.0,93,100,4.63,CA,1680963331
312,urumqi,43.801,87.6005,14.53,25,0,1.0,CN,1680963599
313,turukhansk,65.8167,87.9833,-19.53,83,14,5.18,RU,1680963490
314,svetlogorsk,52.6333,29.7333,14.76,60,100,3.46,BY,1680963600
315,hilo,19.7297,-155.09,20.14,92,100,3.09,US,1680963401
316,sibolga,1.7427,98.7792,24.57,90,100,1.56,ID,1680963600
317,rio gallegos,-51.6226,-69.2181,10.03,40,40,9.77,AR,1680963601
318,abu dhabi,24.4667,54.3667,27.19,53,0,6.69,AE,1680963357
319,praia,14.9215,-23.5087,26.3,53,40,12.35,CV,1680963602
320,jalu,29.0331,21.5482,28.91,21,3,5.28,LY,1680963603
321,udachnyy,66.4167,112.4,-26.97,98,99,1.96,RU,1680963603
322,ingham,42.6,-84.3833,5.91,67,0,6.17,US,1680963329
323,payakumbuh,-0.2202,100.6308,21.49,97,81,1.25,ID,1680963604
324,nyrob,60.733,56.7202,2.33,88,99,2.23,RU,1680963605
325,vazante,-17.9869,-46.9078,26.97,64,100,0.7,BR,1680963605
326,hensall,43.4334,-81.4998,3.14,33,7,3.67,CA,1680963606
327,camrose,53.0168,-112.8353,2.73,79,100,1.74,CA,1680963330
328,middle island,40.8843,-72.9373,7.69,41,0,5.14,US,1680963606
329,caravelas,-17.7125,-39.2481,30.51,55,21,3.5,BR,1680963607
330,lorengau,-2.0226,147.2712,25.5,87,100,2.17,PG,1680963607
